
[00:00:00.000 --> 00:00:02.440]   Right, so
[00:00:02.440 --> 00:00:10.400]   I'm here with Miguel and Francois, and we are going to attempt to pre-register a study
[00:00:10.400 --> 00:00:13.800]   about how we do open science.
[00:00:14.820 --> 00:00:44.040]   By trying to do open science is part of that study, which means we should probably be recording it. Right, cool. So I do have a guide I have flicked through on R_S_F_'s guides for how to create a pre-registration, but like all computer scientists, I'm just gonna skip it, I think, uh and just jump straight in. So my project, so that seems about right. Let's create a new project. Okay, what are we gonna call this project?
[00:00:44.040 --> 00:00:58.020]   Ooh data, uh what are we gonna call it? Making open science open, that works, we can always change it later. Uh
[00:00:59.400 --> 00:01:15.240]   we should enter a description for it in order to attempt to do open science. Let's do an orthoethnographic, which is a word only a vase would like.
[00:01:18.060 --> 00:01:45.380]   Or so yeah, I can't spell. That's what we've got computers for. Still can't spell apparently. Oh, go away you stupid thing. Um let's do an orthoethnographic study on trying to do open science. No, it it wants a hyphen in there, but I think it's wrong. Do we want to use a template? [SPEAKER_TURN]
[00:01:45.380 --> 00:01:47.620]   Templates exist.
[00:01:47.780 --> 00:01:51.860]   No matches found. Should we just try I_E_E_? No, there's no templates, right. So [SPEAKER_TURN]
[00:01:51.860 --> 00:01:55.620]   It's your project, so we can use the same thing. [SPEAKER_TURN]
[00:01:55.620 --> 00:02:02.340]   Yeah. Yeah. And we should work out what we're doing the storage. Um Germany, I guess, yeah.
[00:02:02.340 --> 00:02:04.980]   Right.
[00:02:04.980 --> 00:02:06.940]   It's great.
[00:02:06.940 --> 00:02:13.560]   New project created successfully. Okay. So let's go to the new project.
[00:02:15.140 --> 00:02:29.620]   Cool. We can add contributors. Oh and so this is one of the things I found whenever obviously I'm using the university's official browser, Microsoft Edge, um which seems to cause a lot of errors with open science. But there we go. Right.
[00:02:29.620 --> 00:02:34.160]   So we want to do a pre-registration of
[00:02:34.160 --> 00:02:36.500]   this study.
[00:02:36.500 --> 00:02:43.780]   Is it a component? Is oh registrations, that looks like it.
[00:02:43.780 --> 00:02:50.520]   Okay, we want to do a draft registration. [SPEAKER_TURN]
[00:02:50.520 --> 00:02:54.960]   You're doing a new registration. You're doing cool. [SPEAKER_TURN]
[00:02:55.280 --> 00:03:20.900]   Good. Cool. Um registration creates the frozen version of your project. Your original project remains editable, but will have the registration linked. Things to know about registration. Registrations cannot be edited or deleted. Withdrawing a registration removes its contents, but leaves behind basic metadata. Registration can be public or embargoed for up to four years. Registrations are archived on the internet archive. Cool.
[00:03:22.860 --> 00:03:24.780]   And then it gives us a lot of forms, doesn't it? [SPEAKER_TURN]
[00:03:24.780 --> 00:03:32.100]   And the then the the title will not be uh changeable then. [SPEAKER_TURN]
[00:03:32.620 --> 00:04:02.440]   Oh well. Well, w we made it no division. We know what the study we were doing is. Well we can always say that we tend to pre-register it in a part of our pre-registration on drawing open designs. It turns out you should really have planned this stuff a little bit better. Um okay, so pre-us registration, you'll be asked a series of questions to ensure that your sampling design analysis plans are solidified prior to beginning your study. Open-ended registration, you'll be asked to provide a narrative summary of what's contained in your project. There is no minimum character length. [SPEAKER_TURN]
[00:04:02.440 --> 00:04:21.560]   qualitative. Okay. I mean it's it's we made it up as we went along, isn't it. Um secondary data just doesn't have a description. Should we go with O_S_F_ just to start? And 'cause we can always say when we're creating a draft that we've got the wrong one and re pre-regis something else. [SPEAKER_TURN]
[00:04:21.560 --> 00:04:29.600]   The other one's a more uh specific uh social psychology, us I think that, or um uh [SPEAKER_TURN]
[00:04:29.720 --> 00:04:39.020]   I think we go for O_S_F_ and then maybe fall back to open-ended if it turns out that we we got it wrong. Makes sense to people? [SPEAKER_TURN]
[00:04:39.020 --> 00:04:42.700]   This is pre-data collection and the other second one is after, or? [SPEAKER_TURN]
[00:04:42.700 --> 00:04:43.960]   Well [SPEAKER_TURN]
