"Right, so attempt to filling in the OSF registration metadata.",
Fun fun for all.,
"A vase isn't here, inner is still dropped out as far as I'm aware.",
But we do have Francois and Miguel.,
So where did we get up to last time?,
We got the study information done and we came up with three hypotheses.,Catchup
We don't know what we're doing methodologically and it's non-directional.,Hypothesis
We should be able to model through the process of writing open science.,Hypothesis
"of writing open science data guidelines despite most of us not having done this process before, which is also non-directional.",Hypothesis
And our past experiences attempted to do open science in an ad hoc way. We're not too far from best practice.,Hypothesis
I guess we're on to the design plan stage.,
"So, what are we doing here? We're doing observational study because data was collected from study subjects that are not randomly assigned to a treatment.",Catchup
"We're not randomly assigned. Well, I mean, we're randomly assigned in the sense that we're doing observational study, because data was collected from study subjects that are not randomly assigned to a treatment. We're not randomly assigned. Well, I mean, we're randomly assigned in the sense that we're","Reasoning,Assignment"
"that we got told, come and do this.","Reasoning,Sarcasm,Assignment"
So we have chosen to do this study.,"Reasoning,Sarcasm,Assignment"
Yeah.,
So we're not random.,Reasoning
I guess we can't do blinding because...,"Reasoning,Blinding"
We are aware of the experimental manipulation.,"Reasoning,Blinding"
"Yeah, because the experimental manipulation is we're trying to do it ourselves.","Reasoning,Blinding"
is that right yeah that's correct but we don't know how it will proceed after we have,"Confusion,Reasoning"
failed this registration well I mean we don't know how it will proceed but we'll what I mean,"Confusion,Reasoning"
is what if at some point we decide then what if this can be changed after that or is this I,"Confusion,Reasoning"
don't know no this is this is fixed but I think this is the study of can we go through,
registration oh yeah yeah yeah sorry yeah,
I was thinking more on the larger scale.,Reasoning
The larger scale is a bigger thing.,
"But we also, because we have no idea what we're doing,",Confusion
we can't tell what we're getting through.,
"Yeah, yeah.",
"Yeah, but this is true.",Confidence
"And for this one, it's true.",Confidence
"Of course, if I wanted, so, I mean, okay,",
"I mean, this is getting slightly up my inner art here.",
"But say I did want to apply treatment to people who are registering studies,","Questioning,Treatment"
"which I guess is you guys,",
I guess I could just ask you to turn away,Humor
"whilst I quickly check the box that says,",Humor
I have applied a treatment to you.,Humor
"Would that even, I'd have to fill it in sneakily when you weren't looking.","Humor, Treatment"
"Also, we have access to it.",Access
Yeah.,
It's really hard to do that.,Frustration
There's no blinding.,Blinding
"No, so there can't be blinding because we can't blind.","Humor, Blinding"
"Well, we could still, so this is, I think, where Mikal was going.",Reasoning
"If we then, as part of the study, present the experimental setup to others and ask them to evaluate it,",Reasoning
"particularly the third hypothesis, let's say, despite not knowing what we're doing, we're still doing the right thing.",Reasoning
then we might want to blind them,"Blinding, Reasoning"
by giving them something that was prepared,Reasoning
by somebody who knows what they're doing,"Blinding, Reasoning"
versus what we end up producing.,Reasoning
But I don't think we're at the point,
where we can't even talk about that yet.,Confusion
Cool.,
Is there any additional blinding involved in the study?,"Blinding, Questioning"
No.,
What I am just thinking is,Reasoning
"if we go through the direction of no blinding,","Blinding, Reasoning"
are we limited in the type of...,Reasoning
conclusions that we will get out of this.,Reasoning
But how would we blind?,"Confusion,Blinding"
"Yeah, yeah, that's another thing.",
"Yeah, I don't know.",
I don't think we can...,Reasoning
We're not limited more by taking that box.,Reasoning
By the way we're already running this at the end.,
Yeah.,
So I think taking that box is the right thing.,Reasoning
Yeah.,
