"Right, so",""
"I'm here with Miguel and Francois, and we are going to attempt to pre-register a study",""
"about how we do open science.",""
"By trying to do open science is part of that study, which means we should probably be recording it. Right, cool. So I do have a guide I have flicked through on R_S_F_'s guides for how to create a pre-registration, but like all computer scientists, I'm just gonna skip it, I think, uh and just jump straight in. So my project, so that seems about right. Let's create a new project. Okay, what are we gonna call this project?",""
"Ooh data, uh what are we gonna call it? Making open science open, that works, we can always change it later. Uh",""
"we should enter a description for it in order to attempt to do open science. Let's do an orthoethnographic, which is a word only Awais would like.",""
"Or so yeah, I can't spell. That's what we've got computers for. Still can't spell apparently. Oh, go away you stupid thing. Um let's do an autoethnographic study on trying to do open science. No, it it wants a hyphen in there, but I think it's wrong. Do we want to use a template? [SPEAKER_TURN]","questioning"
"Templates exist.",""
"No matches found. Should we just try I_E_E_? No, there's no templates, right. So [SPEAKER_TURN]","questioning"
"It's your project, so we can use the same thing. [SPEAKER_TURN]",""
"Yeah. Yeah. And we should work out what we're doing the storage. Um Germany, I guess, yeah.","data"
"Right.",""
"It's great.",""
"New project created successfully. Okay. So let's go to the new project.",""
"Cool. We can add contributors. Oh and so this is one of the things I found whenever obviously I'm using the university's official browser, Microsoft Edge, um which seems to cause a lot of errors with open science. But there we go. Right.","frustration|sarcasm"
"So we want to do a pre-registration of",""
"this study.",""
"Is it a component? Is oh registrations, that looks like it.","questioning"
"Okay, we want to do a draft registration. [SPEAKER_TURN]",""
"You're doing a new registration. You're doing cool. [SPEAKER_TURN]",""
"Good. Cool. Um registration creates the frozen version of your project. Your original project remains editable, but will have the registration linked. Things to know about registration. Registrations cannot be edited or deleted. Withdrawing a registration removes its contents, but leaves behind basic metadata. Registration can be public or embargoed for up to four years. Registrations are archived on the internet archive. Cool.","reading"
"And then it gives us a lot of forms, doesn't it? [SPEAKER_TURN]","frustration"
"And the then the the title will not be uh changeable then. [SPEAKER_TURN]",""
"Oh well. Well, w we made it no division. We know what the study we were doing is. Well we can always say that we tend to pre-register it in a part of our pre-registration on drawing open designs. It turns out you should really have planned this stuff a little bit better. Um okay, so pre-us registration, you'll be asked a series of questions to ensure that your sampling design analysis plans are solidified prior to beginning your study. Open-ended registration, you'll be asked to provide a narrative summary of what's contained in your project. There is no minimum character length. [SPEAKER_TURN]","reading"
"qualitative. Okay. I mean it's it's we made it up as we went along, isn't it. Um secondary data just doesn't have a description. Should we go with O_S_F_ just to start? And 'cause we can always say when we're creating a draft that we've got the wrong one and re pre-regis something else. [SPEAKER_TURN]","questioning|reasoning"
"The other one's a more uh specific uh social psychology, us I think that, or um uh [SPEAKER_TURN]","questioning"
"I think we go for O_S_F_ and then maybe fall back to open-ended if it turns out that we we got it wrong. Makes sense to people? [SPEAKER_TURN]","reasoning"
"This is pre-data collection and the other second one is after, or? [SPEAKER_TURN]","confusion|questioning"
"Well [SPEAKER_TURN]",""
"This one specifically says pre-data collection and the second one doesn't s specify that, or? [SPEAKER_TURN]","confusion|reasoning"
"The second one is narrative but, of all project. [SPEAKER_TURN]",""
"Oh, I s [SPEAKER_TURN]",""
"I mean I suppose we're ob since we're already doing data collection for it, can we pre-regis something where we're collecting the data for collecting the data for it but, it's very um What? Meta-bastards. [SPEAKER_TURN]","confusion|reasoning"
"The well, okay. Yeah. Yeah, we should pre-register the pre-registration of the study as a study. Um let's go with O_S_F_ just for the sake of computer scientists barreling in um,","confidence|confusion"
"without doing this. Alright, we want to add people to it. I'm an administrator. [SPEAKER_TURN]",""
"You can click the plus button. You can click the plus button people, just above. [SPEAKER_TURN]",""
"Just above Oh. here, we are.",""
"Right. Uh so we're gonna search for Oh great, let's go for search for Francois. Oh, you've got what was it. No, Macos, it's um Oh no, I forgot that every French person's got French as well. I know I. Know. I'm assuming that's you, 'cause you haven't That looks about right, doesn't it? That you all, kid? [SPEAKER_TURN]",""
"Um probably.",""
"Uh you should be able to",""
"Okay, I mean let's make everyone administrators, because","admin"
"we don't believe in hierarchy beyond glorious leader. Um [SPEAKER_TURN]","reasoning"
"Um we Miquel with a Q_ um parallel P_E_R_E_L_L_O_. [SPEAKER_TURN]",""
"Parello. Cool. Let's see if we can find you. No, you don't seem to be there. Shall we Oh no, there you are, and I recognise your thing. You can also be a don administrator. You were hiding for a second. It's edgy. Uh we should add Awais as well.","admin"
"Oh, I'm assuming it's going to be free registered, otherwise we will add 'em as [SPEAKER_TURN]","admin"
"Gonna be found anyway.",""
"Oh oh. All lower case as well, like a real computer scientist. That's him, isn't it? It is. Doing papers with Dirk, pre-registering. Yeah, it's him. Right, let's add him on as an administrator. Cool. [SPEAKER_TURN]","admin|reasoning"
"No, I'm not I I I'm not that passive. Um right, category. Oh.",""
"It's a project.",""
"And license. [SPEAKER_TURN]",""
"We had agreed on C_C_ zero. It was there it was there. [SPEAKER_TURN]","license"
"Oh. [SPEAKER_TURN]",""
"Um no, no, that that that's that's really go for public domain, truly open, unless anyone disagrees. [SPEAKER_TURN]","license"
"Mm-hmm. [SPEAKER_TURN]",""
"I mean is there a public domain No? We'll go CC0. [SPEAKER_TURN]","license"
"I mean it doesn't mean that we won't get created in it. [SPEAKER_TURN]","license"
"No, and let's be honest, this is gonna be a draft and we're gonna wait until probably next week to actually do it Affiliated. institutions, we have no affiliate institutional affiliations. Right. Oh well. [SPEAKER_TURN]","admin"
